(0.04079982124727922;0.05912804361970875)
(0.0324903150719427;0.056838636670001434)
(0.03429250445301855;0.06056338244261496)
(0.057003641012772194;0.05991636319539832)
(0.02562857260361904;0.06683731828855978)
(0.06930759195683647;0.056461058274798415)
(0.06708543717162163;0.03514982972044559)
(0.037183591683769904;0.07009094944396604)
(0.03423522401015165;0.06193954348154695)
(0.05102283319509099;0.04737981613580003)
(0.032706721820872635;0.05792448998051324)
(0.047318569576907644;0.05448469060381649)
(0.0647021448897498;0.06262920845195927)
(0.04842178189851117;0.06989745948587173)
(0.03352961347330883;0.0822939511594924)
(0.030573972044915364;0.035931057329121836)
(0.023497881753689682;0.05732522785438218)
(0.06261438204293467;0.04692756236758799)
(0.05845501872852713;0.06062767356001029)
(0.028912916179234638;0.0853543596100691)
(0.02854396203546869;0.050654237090697905)
(0.03560775925469359;0.053079631564333964)
(0.041372846391819526;0.049418902077583864)
(0.05378508710283324;0.0337217856594356)
(0.03882077168530347;0.06240906902490794)
(0.034878184506156776;0.07111948102247719)
(0.03759158038683984;0.03841626026981571)
(0.04861217388344727;0.05626024781534356)
(0.04933052605120568;0.06655361560558734)
(0.0496031540481608;0.05026698562794367)
(0.045468433654434884;0.0394277245336249)
(0.032732989440685804;0.04947476143193926)
(0.03996002104709772;0.05151114076180732)
(0.043836198258285324;0.06792548810949663)
(0.03288835422129482;0.04169443390840943)
(0.034859515515707845;0.05918423804384386)
(0.06049959306694102;0.05648461541700206)
(0.05031719479705422;0.0715334974758909)
(0.038708860649380956;0.0812221491329139)
(0.05502598227230201;0.049520235467397374)
(0.03963243332056487;0.045665117691483965)
(0.05505037518831827;0.04730011499961177)
(0.033808658894007894;0.04734334763176727)
(0.03829194607203616;0.03923467313527838)
(0.04645551772976165;0.08026056976888321)
(0.06215210551145831;0.06453709627212885)
(0.03998875150961566;0.05045724896566135)
(0.04258072168666357;0.05433291288908571)
(0.03139293777743338;0.05554503872093899)
(0.03994965103646352;0.05775020029236479)
(0.04880902738690508;0.05561921071647973)
(0.03982791971240739;0.05131859101808757)
(0.05741037773742369;0.046592090884510586)
(0.03977150627564005;0.05088005616492822)
(0.03960859713369658;0.04540696167649997)
(0.04622425856328067;0.04782065851575999)
(0.04387807039416295;0.07965087390577594)
(0.04482481436889844;0.051781792308300545)
(0.0388040352757027;0.06132926855667939)
(0.04095713460508343;0.04748583015538497)
(0.04722636640167957;0.04562918277995589)
(0.0514248373981529;0.08726679011307834)
(0.0383781144267939;0.04495174485212918)
(0.02842966621950753;0.07423602663628498)
(0.03971018155920363;0.03545155413679926)
(0.03380535758732366;0.07972292698066684)
(0.04238662270096385;0.047037207723227274)
(0.033369764643311824;0.046612840772390564)
(0.03528259735300625;0.039372170880451356)
(0.05268462598520828;0.05151861958750826)
(0.039728300150835325;0.07201768718952986)
(0.05347362062275969;0.042187745537975406)
(0.024950655271286253;0.07682874445809726)
(0.03192486675759375;0.07779095069523902)
(0.07497764694819294;0.07355647722026405)
(0.03740441177538521;0.06278383344026887)
(0.052163992747854666;0.0630893384518515)
(0.03974732340217928;0.07093337360035698)
(0.033797054314470325;0.05072882293796948)
(0.04244458735159355;0.05652623336675597)
(0.05776980029951885;0.0631127509296209)
(0.05315941878536467;0.05162782314857544)
(0.051078052234406895;0.0521694331613152)
(0.05601730995065944;0.06544119171879327)
(0.0465683967352768;0.04009542947094699)
(0.03944244414191629;0.04632711097236473)
(0.02667643802263732;0.05835471892975578)
(0.05889416173694721;0.05058713860375251)
(0.06139386632957913;0.040439260271888856)
(0.05820824599757155;0.048326189171982954)
(0.048965902085971465;0.036391624201408984)
(0.058751006016544066;0.04374145326818034)
(0.056815928706108826;0.04651069250450611)
(0.06161510985247783;0.04279624912508885)
(0.04856113074643595;0.05090654988715232)
(0.04093742183416328;0.06123717736748351)
(0.0430402488088243;0.061579400748483656)
(0.03321781398965727;0.07200388367998031)
(0.03183394446853407;0.05880153447056048)
(0.04271401177865037;0.054959436297038936)
